Zip, Total Population ,Percent Males
30016-0000,"455,342",72
20884-0000,"455,359",26
32568-0000,"455,369",68
3768-0000,"455,415",38
53965-0000,"455,443",36
17060-0000,"455,459",16
72149-0000,"455,522",8
45381-0000,"455,625",14
75138-0000,"455,857",86
95194-0000,"455,911",3
21797-0000,"456,077",30
50220-0000,"456,079",6
28557-0000,"456,095",39
67675-0000,"456,207",85
6020-0000,"456,246",88
85707-0000,"456,282",37
56009-0000,"456,314",71
99684-0000,"456,344",70
99036-0000,"456,472",6
1036-0000,"456,561",73
99118-0000,"456,570",28
79189-0000,"456,571",50
42634-0000,"456,580",54
72812-0000,"456,602",21
32117-0000,"456,677",63
94286-0000,"456,678",64
75254-0000,"456,694",87
93716-0000,"456,709",30
37213-0000,"456,771",66
81610-0000,"456,790",12
78940-0000,"456,813",57
65105-0000,"456,816",55
93277-0000,"456,817",1
43766-0000,"456,886",25
40939-0000,"456,896",73
55738-0000,"456,896",9
46075-0000,"456,903",35
4680-0000,"456,968",94
92067-0000,"456,973",73
95005-0000,"457,003",56
28773-0000,"457,020",46
71333-0000,"457,024",89
15714-0000,"457,041",28
33991-0000,"457,207",33
20904-0000,"457,273",67
13138-0000,"457,315",68
52501-0000,"457,362",55
15290-0000,"457,482",8
74187-0000,"457,496",91
51639-0000,"457,501",86
68147-0000,"457,588",55
85055-0000,"457,602",15
60503-0000,"457,641",66
60656-0000,"457,690",45
63702-0000,"457,692",42
85193-0000,"457,755",37
24884-0000,"457,861",82
64048-0000,"457,861",63
98522-0000,"457,888",36
66735-0000,"457,928",85
93940-0000,"457,988",57
3108-0000,"458,000",97
72459-0000,"458,012",9
72634-0000,"458,050",20
85378-0000,"458,063",70
27676-0000,"458,115",82
70352-0000,"458,126",56
75493-0000,"458,206",95
1504-0000,"458,208",84
85911-0000,"458,232",26
2026-0000,"458,279",84
30012-0000,"458,293",43
40447-0000,"458,504",79
4941-0000,"458,564",95
61650-0000,"458,598",6
80314-0000,"458,681",76
1105-0000,"458,683",84
28635-0000,"458,710",22
94612-0000,"458,728",53
71835-0000,"458,744",86
68176-0000,"458,771",20
48462-0000,"458,793",96
27150-0000,"458,867",9
7513-0000,"458,946",5
98244-0000,"459,032",71
35740-0000,"459,074",63
23304-0000,"459,076",76
92557-0000,"459,116",38
61485-0000,"459,185",27
32105-0000,"459,203",8
43787-0000,"459,288",90
7009-0000,"459,309",23
46774-0000,"459,315",36
84005-0000,"459,340",81
32428-0000,"459,347",71
16841-0000,"459,356",80
23307-0000,"459,389",89
30039-0000,"459,389",98
24866-0000,"459,407",99
49001-0000,"459,410",43
80810-0000,"459,568",65
29924-0000,"459,571",3
93717-0000,"459,597",60
74936-0000,"459,657",20
78535-0000,"459,667",89
38281-0000,"459,716",20
54451-0000,"459,741",17
77273-0000,"459,819",44
88355-0000,"459,874",53
44491-0000,"459,895",70
68431-0000,"459,898",44
23163-0000,"459,915",88
72441-0000,"460,017",31
33655-0000,"460,024",71
7628-0000,"460,056",64
92834-0000,"460,083",4
35824-0000,"460,092",14
14558-0000,"460,185",67
53158-0000,"460,198",48
32357-0000,"460,219",47
74037-0000,"460,272",36
62357-0000,"460,297",34
56734-0000,"460,313",54
99220-0000,"460,377",29
93546-0000,"460,408",7
28329-0000,"460,416",92
32773-0000,"460,470",13
75115-0000,"460,573",79
61370-0000,"460,603",100
16617-0000,"460,647",11
15920-0000,"460,651",79
60622-0000,"460,653",19
91745-0000,"460,707",44
32079-0000,"460,795",28
38704-0000,"460,862",42
67656-0000,"460,870",61
40075-0000,"460,978",84
54512-0000,"461,001",13
53932-0000,"461,037",14
53784-0000,"461,154",57
14479-0000,"461,188",23
1566-0000,"461,260",36
72017-0000,"461,295",70
25440-0000,"461,448",45
64507-0000,"461,530",56
65218-0000,"461,561",48
75754-0000,"461,705",36
59746-0000,"461,816",20
49409-0000,"461,834",38
97603-0000,"462,159",15
93009-0000,"462,193",86
54407-0000,"462,200",95
49235-0000,"462,264",58
92657-0000,"462,277",77
43211-0000,"462,319",100
3077-0000,"462,371",98
13645-0000,"462,377",13
20140-0000,"462,402",74
58227-0000,"462,478",51
77368-0000,"462,499",56
86430-0000,"462,565",32
11419-0000,"462,590",15
39040-0000,"462,668",6
23154-0000,"462,681",68
23851-0000,"462,706",58
7670-0000,"462,716",23
13606-0000,"462,717",1
12185-0000,"462,751",62
49011-0000,"462,765",22
7106-0000,"462,800",62
70146-0000,"462,943",42
93106-0000,"462,953",45
41189-0000,"462,955",96
75241-0000,"462,991",17
52749-0000,"463,024",81
99116-0000,"463,026",65
1088-0000,"463,054",15
85931-0000,"463,105",96
16861-0000,"463,107",66
27635-0000,"463,107",81
58241-0000,"463,130",92
72830-0000,"463,165",27
83645-0000,"463,234",65
88569-0000,"463,323",50
42564-0000,"463,450",56
73178-0000,"463,581",2
2348-0000,"463,644",35
28341-0000,"463,763",34
68845-0000,"463,812",68
81237-0000,"463,843",67
57027-0000,"463,871",27
92322-0000,"463,892",81
94143-0000,"463,921",71
19442-0000,"463,936",54
34222-0000,"463,957",97
48726-0000,"463,962",8
35135-0000,"463,966",78
87046-0000,"463,967",14
75928-0000,"463,968",40
67340-0000,"463,999",98
49611-0000,"464,017",47
24374-0000,"464,053",3
14638-0000,"464,064",95
54245-0000,"464,152",47
95454-0000,"464,161",72
44254-0000,"464,175",51
42025-0000,"464,278",36
38849-0000,"464,284",33
77415-0000,"464,298",67
11208-0000,"464,316",96
61235-0000,"464,339",43
31044-0000,"464,408",54
4538-0000,"464,439",25
63620-0000,"464,489",48
60022-0000,"464,522",24
49103-0000,"464,638",47
88011-0000,"464,684",22
4855-0000,"464,765",46
33530-0000,"464,806",21
84646-0000,"464,828",23
2791-0000,"464,893",29
34448-0000,"464,894",65
30739-0000,"464,972",56
1240-0000,"465,021",73
33336-0000,"465,038",28
48311-0000,"465,080",85
32713-0000,"465,092",22
37708-0000,"465,106",61
89433-0000,"465,119",60
33164-0000,"465,120",57
53801-0000,"465,146",71
25048-0000,"465,185",20
98046-0000,"465,227",58
14846-0000,"465,336",67
81005-0000,"465,516",18
85745-0000,"465,577",5
53076-0000,"465,579",8
91741-0000,"465,596",91
81201-0000,"465,641",93
12410-0000,"465,831",61
27539-0000,"465,973",66
16860-0000,"466,013",63
7652-0000,"466,074",74
46127-0000,"466,162",27
50571-0000,"466,321",30
14173-0000,"466,342",79
1503-0000,"466,356",51
36609-0000,"466,430",91
58425-0000,"466,432",1
97537-0000,"466,469",16
4341-0000,"466,473",74
41366-0000,"466,474",72
63150-0000,"466,489",66
33511-0000,"466,598",59
75370-0000,"466,686",10
74182-0000,"466,734",34
36318-0000,"466,749",78
60145-0000,"466,787",28
38966-0000,"466,801",90
60953-0000,"466,804",63
44709-0000,"466,807",28
1538-0000,"466,845",36
34760-0000,"466,846",7
62076-0000,"466,864",14
79380-0000,"466,922",80
84745-0000,"466,980",89
44288-0000,"467,064",71
45621-0000,"467,071",91
82003-0000,"467,092",2
36675-0000,"467,111",87
63333-0000,"467,239",69
45746-0000,"467,248",16
55083-0000,"467,288",27
36435-0000,"467,333",30
63061-0000,"467,350",84
51650-0000,"467,436",56
61811-0000,"467,502",44
72015-0000,"467,525",41
17853-0000,"467,536",53
73092-0000,"467,578",23
44864-0000,"467,621",73
18246-0000,"467,674",83
74932-0000,"467,720",94
76248-0000,"467,759",42
18334-0000,"467,809",26
68462-0000,"467,870",12
96776-0000,"468,122",23
98852-0000,"468,216",98
93385-0000,"468,325",28
2111-0000,"468,420",40
46040-0000,"468,438",93
79338-0000,"468,446",33
17105-0000,"468,465",39
7099-0000,"468,496",58
37641-0000,"468,571",61
43456-0000,"468,671",67
24701-0000,"468,736",34
2553-0000,"468,829",50
53213-0000,"468,964",55
62862-0000,"468,991",74
59420-0000,"469,000",93
30070-0000,"469,076",49
10272-0000,"469,109",5
3221-0000,"469,166",73
99742-0000,"469,206",8
85142-0000,"469,222",89
99705-0000,"469,256",12
58272-0000,"469,276",53
12923-0000,"469,293",12
76461-0000,"469,390",96
38914-0000,"469,408",56
31833-0000,"469,441",67
83541-0000,"469,459",72
62305-0000,"469,508",64
70010-0000,"469,511",89
77209-0000,"469,546",59
76704-0000,"469,633",95
35053-0000,"469,746",80
4254-0000,"469,760",23
38930-0000,"469,801",97
52036-0000,"469,839",9
95160-0000,"469,842",43
65646-0000,"469,910",98
97376-0000,"469,951",45
78472-0000,"469,955",12
83845-0000,"470,080",73
14020-0000,"470,262",98
12027-0000,"470,400",9
96141-0000,"470,434",17
49063-0000,"470,454",30
52037-0000,"470,535",84
23487-0000,"470,564",5
23240-0000,"470,737",18
78064-0000,"470,772",92
26448-0000,"470,789",29
13065-0000,"470,807",64
27881-0000,"470,829",84
31999-0000,"470,958",16
55733-0000,"471,056",50
23930-0000,"471,077",79
48308-0000,"471,181",99
31302-0000,"471,216",58
49276-0000,"471,303",11
16725-0000,"471,384",86
45437-0000,"471,416",65
29910-0000,"471,427",58
47433-0000,"471,449",14
33156-0000,"471,496",30
6825-0000,"471,539",97
60091-0000,"471,652",34
72841-0000,"471,709",42
17097-0000,"471,754",18
43321-0000,"471,812",71
51530-0000,"471,823",85
76035-0000,"471,848",62
79980-0000,"471,863",68
36115-0000,"471,864",96
94666-0000,"471,930",18
83450-0000,"471,975",48
33755-0000,"472,021",96
62756-0000,"472,027",1
91386-0000,"472,104",24
14506-0000,"472,198",87
20237-0000,"472,213",48
68824-0000,"472,217",75
56063-0000,"472,226",6
1845-0000,"472,331",73
11971-0000,"472,334",65
52001-0000,"472,375",85
98554-0000,"472,383",32
74442-0000,"472,453",27
36066-0000,"472,569",52
83715-0000,"472,586",49
99764-0000,"472,605",28
92627-0000,"472,618",80
74006-0000,"472,659",53
65014-0000,"472,679",61
55587-0000,"472,743",35
77640-0000,"472,767",94
27695-0000,"472,798",6
12225-0000,"472,825",5
49337-0000,"472,904",50
25134-0000,"472,907",16
31031-0000,"472,918",84
45103-0000,"472,924",62
49659-0000,"472,931",94
5067-0000,"472,950",9
22245-0000,"472,964",12
60455-0000,"472,973",80
77225-0000,"473,034",99
26070-0000,"473,124",8
48347-0000,"473,149",22
48466-0000,"473,163",86
43232-0000,"473,177",43
75103-0000,"473,213",88
55571-0000,"473,216",64
62282-0000,"473,286",89
16401-0000,"473,301",16
37347-0000,"473,335",12
85325-0000,"473,343",84
76031-0000,"473,386",12
62555-0000,"473,460",55
95865-0000,"473,463",51
72327-0000,"473,605",39
35461-0000,"473,645",73
13790-0000,"473,698",34
68132-0000,"473,698",44
30821-0000,"473,715",21
83324-0000,"473,740",70
17375-0000,"473,745",46
10163-0000,"473,773",25
53122-0000,"473,837",29
50070-0000,"473,843",31
48005-0000,"473,844",79
59535-0000,"473,864",29
13860-0000,"473,881",80
83402-0000,"473,951",52
27415-0000,"474,058",86
92553-0000,"474,266",90
71973-0000,"474,347",9
64082-0000,"474,358",84
30363-0000,"474,373",72
19567-0000,"474,374",4
86053-0000,"474,388",65
71273-0000,"474,547",11
64123-0000,"474,550",34
85070-0000,"474,591",55
55054-0000,"474,664",55
42368-0000,"474,687",81
33545-0000,"474,752",66
51652-0000,"474,818",35
17976-0000,"474,838",95
70737-0000,"474,890",42
28136-0000,"474,947",73
92109-0000,"474,949",18
97080-0000,"475,315",1
46802-0000,"475,333",5
98312-0000,"475,460",2
64423-0000,"475,493",49
93942-0000,"475,594",22
92285-0000,"475,595",22
92661-0000,"475,786",45
50324-0000,"475,807",65
24486-0000,"475,857",10
70176-0000,"475,866",46
23510-0000,"475,882",72
84138-0000,"475,968",43
21234-0000,"475,976",29
49016-0000,"476,008",17
24095-0000,"476,032",15
25270-0000,"476,032",29
75233-0000,"476,055",87
55088-0000,"476,058",77
43199-0000,"476,143",21
24464-0000,"476,165",31
30218-0000,"476,172",22
30213-0000,"476,222",77
99747-0000,"476,228",97
7806-0000,"476,250",87
23328-0000,"476,262",37
53535-0000,"476,273",3
39066-0000,"476,319",41
27048-0000,"476,371",12
12454-0000,"476,400",84
43935-0000,"476,430",1
94914-0000,"476,451",91
13655-0000,"476,509",82
37864-0000,"476,577",63
19465-0000,"476,654",16
10159-0000,"476,678",37
40981-0000,"476,699",2
67564-0000,"476,741",97
41095-0000,"476,758",40
6260-0000,"476,762",4
94577-0000,"476,987",71
55426-0000,"477,066",50
79525-0000,"477,098",64
1039-0000,"477,250",79
12257-0000,"477,433",74
27711-0000,"477,433",56
59501-0000,"477,528",91
90076-0000,"477,658",17
12555-0000,"477,735",15
90088-0000,"477,775",35
59752-0000,"477,776",67
55331-0000,"477,777",11
18456-0000,"477,807",44
30449-0000,"477,898",96
79103-0000,"477,954",79
32702-0000,"477,956",65
47231-0000,"477,965",48
15828-0000,"478,054",84
91185-0000,"478,077",61
7421-0000,"478,171",15
47401-0000,"478,276",47
90018-0000,"478,276",6
91222-0000,"478,302",33
28803-0000,"478,357",66
99611-0000,"478,524",67
19086-0000,"478,603",34
89403-0000,"478,641",86
1747-0000,"478,648",91
56220-0000,"478,758",38
72214-0000,"478,762",69
90604-0000,"478,768",80
8073-0000,"479,073",19
93238-0000,"479,142",18
20135-0000,"479,410",48
66449-0000,"479,414",99
53821-0000,"479,439",67
57059-0000,"479,533",89
63543-0000,"479,560",48
25984-0000,"479,626",19
97210-0000,"479,628",84
30271-0000,"479,665",31
24244-0000,"479,676",17
57454-0000,"479,677",8
43037-0000,"479,681",99
84036-0000,"479,783",28
2780-0000,"479,793",67
74068-0000,"479,877",8
33858-0000,"479,892",68
44470-0000,"479,952",43
53961-0000,"480,008",51
23960-0000,"480,052",54
60479-0000,"480,117",42
99329-0000,"480,143",46
83523-0000,"480,167",69
30625-0000,"480,177",84
43556-0000,"480,280",87
93291-0000,"480,296",49
25696-0000,"480,352",59
14415-0000,"480,434",10
84078-0000,"480,444",43
98593-0000,"480,531",13
6457-0000,"480,539",95
62448-0000,"480,559",64
80906-0000,"480,588",64
12552-0000,"480,594",93
49002-0000,"480,606",36
68860-0000,"480,615",54
13775-0000,"480,619",7
42402-0000,"480,624",70
15851-0000,"480,657",54
63764-0000,"480,668",22
43542-0000,"480,680",26
11976-0000,"480,701",37
90403-0000,"480,717",45
20071-0000,"480,804",19
15051-0000,"480,875",71
34606-0000,"480,939",26
18430-0000,"480,968",25
52640-0000,"480,992",39
97534-0000,"481,026",46
95062-0000,"481,038",25
28472-0000,"481,045",22
26684-0000,"481,047",76
57420-0000,"481,092",71
1534-0000,"481,108",88
48410-0000,"481,126",41
68649-0000,"481,145",100
8558-0000,"481,152",36
53943-0000,"481,169",53
94107-0000,"481,180",50
65564-0000,"481,183",35
53968-0000,"481,194",75
30575-0000,"481,242",62
45043-0000,"481,272",22
22036-0000,"481,492",24
23955-0000,"481,521",81
1542-0000,"481,588",82
6365-0000,"481,611",20
62325-0000,"481,641",49
70765-0000,"481,655",1
33119-0000,"481,656",30
80527-0000,"481,682",88
6534-0000,"481,874",91
93406-0000,"481,902",87
23630-0000,"481,904",33
28612-0000,"481,965",88
3444-0000,"482,129",26
38327-0000,"482,190",43
90069-0000,"482,233",60
74435-0000,"482,301",100
17310-0000,"482,387",5
86340-0000,"482,425",50
28019-0000,"482,433",28
49534-0000,"482,458",33
82225-0000,"482,472",98
96103-0000,"482,512",66
2375-0000,"482,569",54
60056-0000,"482,631",46
33960-0000,"482,657",67
92251-0000,"482,662",58
42210-0000,"482,691",18
29014-0000,"482,723",57
22654-0000,"482,736",96
33484-0000,"482,765",82
94937-0000,"482,778",89
44087-0000,"482,826",53
37235-0000,"482,882",12
5492-0000,"482,958",54
71417-0000,"483,149",1
97440-0000,"483,160",80
23405-0000,"483,317",57
56683-0000,"483,333",42
52235-0000,"483,435",90
68359-0000,"483,513",32
62932-0000,"483,707",72
14652-0000,"483,708",66
45051-0000,"483,715",44
47537-0000,"483,796",15
65335-0000,"483,806",20
19550-0000,"483,874",12
60060-0000,"483,907",14
42759-0000,"483,913",52
22503-0000,"483,952",3
91607-0000,"483,987",55
40294-0000,"483,997",30
68323-0000,"483,999",54
8099-0000,"484,001",84
55049-0000,"484,002",21
52056-0000,"484,051",1
56113-0000,"484,054",86
95559-0000,"484,088",59
23004-0000,"484,100",51
73024-0000,"484,145",80
48888-0000,"484,159",31
20554-0000,"484,245",66
63623-0000,"484,346",43
75166-0000,"484,430",70
1084-0000,"484,507",10
12056-0000,"484,519",26
39158-0000,"484,519",19
44314-0000,"484,529",66
48873-0000,"484,551",96
63036-0000,"484,551",33
87732-0000,"484,618",51
73057-0000,"484,700",84
72116-0000,"484,735",6
43040-0000,"484,763",48
47115-0000,"484,797",73
23005-0000,"484,820",64
62354-0000,"484,874",19
63566-0000,"484,898",92
70725-0000,"485,021",11
50586-0000,"485,038",74
49512-0000,"485,042",78
53059-0000,"485,111",63
59270-0000,"485,117",69
57194-0000,"485,144",57
12067-0000,"485,215",61
33856-0000,"485,256",54
70801-0000,"485,309",48
99336-0000,"485,314",6
87105-0000,"485,341",55
15449-0000,"485,370",41
96090-0000,"485,377",73
76508-0000,"485,419",8
84333-0000,"485,495",97
24012-0000,"485,542",93
62080-0000,"485,550",79
70816-0000,"485,612",96
20889-0000,"485,673",37
32206-0000,"485,682",52
83220-0000,"485,689",39
77467-0000,"485,717",99
52157-0000,"485,731",66
34421-0000,"485,746",64
44627-0000,"485,762",34
26206-0000,"485,908",66
81414-0000,"485,914",4
20447-0000,"485,941",41
90711-0000,"485,989",61
36613-0000,"486,037",24
74059-0000,"486,259",93
8030-0000,"486,270",77
39160-0000,"486,306",57
85003-0000,"486,325",16
48851-0000,"486,342",77
60669-0000,"486,440",89
96078-0000,"486,458",69
45826-0000,"486,521",41
60563-0000,"486,527",31
18411-0000,"486,556",61
68037-0000,"486,603",81
65605-0000,"486,632",50
35459-0000,"486,714",88
36123-0000,"486,741",51
31907-0000,"486,838",90
28347-0000,"486,857",62
76424-0000,"486,864",92
72113-0000,"486,878",56
39207-0000,"486,886",63
12722-0000,"486,929",12
3864-0000,"486,989",9
67330-0000,"487,148",39
19708-0000,"487,150",46
59467-0000,"487,210",44
43749-0000,"487,231",35
48886-0000,"487,247",74
30560-0000,"487,287",31
6850-0000,"487,302",86
74028-0000,"487,343",44
27970-0000,"487,350",21
10992-0000,"487,358",60
95205-0000,"487,367",54
43140-0000,"487,415",37
65720-0000,"487,524",88
4238-0000,"487,598",18
69103-0000,"487,644",31
50334-0000,"487,659",41
30142-0000,"487,682",65
32247-0000,"487,686",51
62271-0000,"487,712",50
92323-0000,"487,714",56
7446-0000,"487,745",4
10517-0000,"487,765",71
98446-0000,"487,835",88
97324-0000,"487,878",65
28530-0000,"487,896",14
66073-0000,"487,928",28
1923-0000,"487,958",43
60135-0000,"487,998",61
50099-0000,"488,017",82
46755-0000,"488,092",59
28432-0000,"488,118",43
45766-0000,"488,218",61
55084-0000,"488,225",5
72142-0000,"488,253",35
21664-0000,"488,309",23
2030-0000,"488,321",45
7015-0000,"488,325",2
16871-0000,"488,382",73
58466-0000,"488,431",91
79708-0000,"488,490",48
40052-0000,"488,507",24
15235-0000,"488,525",83
5842-0000,"488,562",83
79120-0000,"488,764",53
10310-0000,"488,774",75
76854-0000,"488,774",82
49347-0000,"488,817",41
57186-0000,"488,955",68
94971-0000,"489,054",16
74133-0000,"489,069",76
36473-0000,"489,096",93
14453-0000,"489,098",7
12563-0000,"489,124",38
70818-0000,"489,126",21
53942-0000,"489,145",100
84023-0000,"489,155",97
99121-0000,"489,399",80
92850-0000,"489,434",20
71163-0000,"489,441",93
75403-0000,"489,451",35
38780-0000,"489,454",97
12937-0000,"489,486",41
30216-0000,"489,496",46
27047-0000,"489,525",47
31207-0000,"489,544",8
55110-0000,"489,544",88
47452-0000,"489,579",16
49668-0000,"489,598",30
62884-0000,"489,616",82
26544-0000,"489,692",52
13318-0000,"489,741",84
72659-0000,"489,786",27
44201-0000,"489,791",84
22509-0000,"489,837",47
22580-0000,"489,855",29
25562-0000,"489,863",93
29151-0000,"489,871",77
78713-0000,"489,928",70
57449-0000,"489,944",53
62090-0000,"490,038",45
92136-0000,"490,082",48
32201-0000,"490,113",87
78074-0000,"490,202",64
75224-0000,"490,216",57
30464-0000,"490,299",74
89143-0000,"490,326",69
6258-0000,"490,381",78
48269-0000,"490,478",83
12241-0000,"490,598",85
21657-0000,"490,754",16
31527-0000,"490,939",35
63860-0000,"490,950",97
50302-0000,"491,029",86
29721-0000,"491,030",7
68759-0000,"491,094",2
46803-0000,"491,194",68
42066-0000,"491,195",95
41364-0000,"491,230",8
28326-0000,"491,326",10
83272-0000,"491,615",15
68440-0000,"491,645",61
79785-0000,"491,695",9
92629-0000,"491,808",18
61379-0000,"491,844",99
22107-0000,"491,912",95
49628-0000,"491,934",97
79009-0000,"491,938",56
17337-0000,"491,960",50
19947-0000,"491,984",56
88426-0000,"492,082",24
24857-0000,"492,090",36
54805-0000,"492,270",100
18092-0000,"492,468",2
23079-0000,"492,558",45
16323-0000,"492,565",41
1590-0000,"492,641",27
16503-0000,"492,670",97
14272-0000,"492,763",47
24060-0000,"492,771",86
61032-0000,"492,775",100
44454-0000,"492,776",60
63033-0000,"492,791",12
66620-0000,"492,800",67
59820-0000,"492,830",19
92225-0000,"492,887",45
56368-0000,"492,929",2
50108-0000,"492,944",61
84073-0000,"493,015",20
44682-0000,"493,023",85
21146-0000,"493,037",92
55043-0000,"493,172",56
67863-0000,"493,217",22
70744-0000,"493,232",95
92382-0000,"493,250",11
54246-0000,"493,393",54
85083-0000,"493,423",42
89555-0000,"493,467",98
47335-0000,"493,475",33
39465-0000,"493,532",21
32444-0000,"493,543",90
95221-0000,"493,634",100
61115-0000,"493,668",87
58223-0000,"493,681",51
30150-0000,"493,753",29
95460-0000,"493,790",48
8646-0000,"493,807",37
54559-0000,"493,936",10
83814-0000,"493,979",95
43657-0000,"494,092",31
77236-0000,"494,202",68
81248-0000,"494,241",13
68320-0000,"494,261",36
27887-0000,"494,306",12
32633-0000,"494,306",59
25035-0000,"494,312",55
49696-0000,"494,317",27
78159-0000,"494,322",30
78407-0000,"494,365",84
73403-0000,"494,375",90
11802-0000,"494,446",53
80227-0000,"494,488",77
39457-0000,"494,585",80
30002-0000,"494,598",56
11751-0000,"494,630",8
79744-0000,"494,648",88
62424-0000,"494,671",36
23518-0000,"494,675",37
92693-0000,"494,709",21
35458-0000,"494,732",49
52730-0000,"494,811",22
78617-0000,"494,839",33
7821-0000,"494,961",70
20906-0000,"495,027",36
98950-0000,"495,064",36
94103-0000,"495,146",46
82510-0000,"495,166",10
7726-0000,"495,220",65
20859-0000,"495,226",29
53783-0000,"495,277",90
4285-0000,"495,279",4
14441-0000,"495,285",56
92159-0000,"495,310",84
12887-0000,"495,348",72
83852-0000,"495,366",68
19460-0000,"495,367",13
43227-0000,"495,369",51
12430-0000,"495,391",34
28711-0000,"495,412",52
23306-0000,"495,431",62
56759-0000,"495,450",69
94543-0000,"495,491",67
54525-0000,"495,549",34
67738-0000,"495,568",31
13807-0000,"495,721",23
77876-0000,"495,793",67
65809-0000,"495,797",21
3843-0000,"495,831",95
58262-0000,"495,833",15
10162-0000,"495,844",92
40949-0000,"495,847",64
93618-0000,"495,875",42
58369-0000,"495,890",54
42603-0000,"496,022",13
95644-0000,"496,027",37
36741-0000,"496,128",34
78559-0000,"496,144",99
90024-0000,"496,145",73
76065-0000,"496,159",62
80920-0000,"496,179",92
94229-0000,"496,227",64
84735-0000,"496,293",64
24993-0000,"496,503",79
78406-0000,"496,514",1
19441-0000,"496,525",89
37385-0000,"496,559",64
15006-0000,"496,618",36
97826-0000,"496,650",73
67559-0000,"496,706",99
2211-0000,"496,813",70
74831-0000,"496,835",39
38461-0000,"496,838",54
71016-0000,"496,963",36
56001-0000,"497,068",34
20886-0000,"497,184",99
52557-0000,"497,185",72
76118-0000,"497,233",68
95441-0000,"497,249",94
17608-0000,"497,260",34
23063-0000,"497,263",56
68792-0000,"497,263",49
38201-0000,"497,274",11
97626-0000,"497,291",48
77005-0000,"497,303",7
72047-0000,"497,347",71
60946-0000,"497,388",21
88577-0000,"497,498",2
15034-0000,"497,536",21
2906-0000,"497,559",99
42369-0000,"497,569",35
71434-0000,"497,622",23
98903-0000,"497,626",42
53233-0000,"497,759",7
21263-0000,"497,772",1
66512-0000,"497,772",22
80236-0000,"497,785",99
81239-0000,"497,827",97
79070-0000,"497,906",9
66853-0000,"497,966",69
39283-0000,"498,047",94
41645-0000,"498,067",49
15764-0000,"498,100",75
77238-0000,"498,111",87
28394-0000,"498,131",76
13334-0000,"498,149",91
85060-0000,"498,150",69
65641-0000,"498,156",19
47955-0000,"498,169",51
8330-0000,"498,190",57
52721-0000,"498,205",35
39568-0000,"498,211",59
71611-0000,"498,269",27
59601-0000,"498,273",31
88264-0000,"498,294",66
89425-0000,"498,412",92
19150-0000,"498,490",19
72222-0000,"498,514",27
97429-0000,"498,543",21
14806-0000,"498,648",69
41660-0000,"498,666",83
38944-0000,"498,673",10
75212-0000,"498,688",73
99166-0000,"498,707",67
79073-0000,"498,731",91
81232-0000,"498,818",70
47010-0000,"498,827",89
32140-0000,"498,874",70
15131-0000,"498,900",92
45502-0000,"498,903",67
74465-0000,"498,963",64
30297-0000,"499,033",59
80488-0000,"499,034",80
96774-0000,"499,048",39
15617-0000,"499,063",74
5047-0000,"499,077",50
29510-0000,"499,243",10
56726-0000,"499,333",83
32856-0000,"499,341",40
70093-0000,"499,468",6
8250-0000,"499,497",26
49755-0000,"499,723",5
6403-0000,"499,777",34
38238-0000,"499,816",68
18827-0000,"499,820",13
13691-0000,"499,841",38
18357-0000,"499,995",65
93447-0000,"500,106",59
28303-0000,"500,173",42
76259-0000,"500,206",30
23873-0000,"500,305",18
3836-0000,"500,394",6
95975-0000,"500,401",37
65771-0000,"500,484",61
80226-0000,"500,551",81
46349-0000,"500,627",70
41232-0000,"500,631",69
81430-0000,"500,726",60
4463-0000,"500,801",80
56010-0000,"500,853",53
67344-0000,"500,864",23
71079-0000,"500,865",98
10551-0000,"500,933",97
74854-0000,"500,937",11
26136-0000,"500,941",35
93292-0000,"501,030",73
19493-0000,"501,070",95
16427-0000,"501,205",24
96806-0000,"501,460",56
66717-0000,"501,477",11
4056-0000,"501,496",48
33876-0000,"501,517",38
67637-0000,"501,553",37
32818-0000,"501,605",41
64438-0000,"501,681",11
74136-0000,"501,698",34
20039-0000,"501,700",59
84655-0000,"501,705",38
81502-0000,"501,722",46
42647-0000,"501,723",87
17037-0000,"501,737",29
50236-0000,"501,788",40
10941-0000,"501,839",65
60659-0000,"501,851",79
67748-0000,"501,887",18
73706-0000,"501,898",20
95429-0000,"501,919",24
40588-0000,"501,934",21
96151-0000,"501,972",35
35006-0000,"502,061",32
79250-0000,"502,120",15
65024-0000,"502,211",91
17221-0000,"502,247",100
49637-0000,"502,333",3
24079-0000,"502,342",5
83468-0000,"502,343",23
59635-0000,"502,393",79
85272-0000,"502,393",69
84634-0000,"502,431",5
77614-0000,"502,661",79
76262-0000,"502,809",39
30355-0000,"502,820",11
75086-0000,"502,850",42
34218-0000,"502,855",21
85335-0000,"502,954",52
25140-0000,"502,960",35
75201-0000,"502,990",18
97701-0000,"503,187",90
54490-0000,"503,188",20
76597-0000,"503,363",7
49255-0000,"503,370",58
93518-0000,"503,520",41
78292-0000,"503,552",39
62015-0000,"503,629",21
34683-0000,"503,674",56
85334-0000,"503,730",74
98040-0000,"503,741",55
14482-0000,"503,762",89
12766-0000,"503,763",95
93529-0000,"503,782",1
48416-0000,"503,788",49
5657-0000,"503,797",63
86507-0000,"503,801",57
6080-0000,"503,814",97
77049-0000,"503,856",16
30331-0000,"503,917",98
41849-0000,"503,990",29
85138-0000,"504,039",78
45659-0000,"504,108",42
75098-0000,"504,134",30
68834-0000,"504,359",38
